n,time1,time2,time3,time4,time5,time6,inplace,extramemory
0,2e-06,0.0,1e-06,0.0,0.0,2e-06,0.0,0.0
0,2e-06,1e-06,0.0,0.0,1e-06,0.0,0.0,0.0
5,2e-06,0.0,1e-06,2e-06,0.0,0.0,1e-06,0.0
5,2e-06,0.0,1e-06,1e-06,0.0,0.0,1e-06,0.0
10,5e-06,3e-06,4e-06,3e-06,4e-06,2e-06,1e-06,1e-06
10,1.2e-05,2e-06,4e-06,2e-06,3e-06,3e-06,0.0,0.0
15,1.4e-05,9e-06,1.2e-05,9e-06,8e-06,8e-06,2e-06,0.0
15,1.6e-05,7e-06,1.2e-05,7e-06,8e-06,7e-06,1e-06,1e-06
20,2.4e-05,1.6e-05,2.8e-05,1.7e-05,1.6e-05,1.7e-05,1e-06,1e-06
20,3.2e-05,1.7e-05,2.8e-05,1.6e-05,1.9e-05,1.6e-05,2e-06,1e-06
25,6.1e-05,3.2e-05,5.5e-05,3.2e-05,3.5e-05,3.2e-05,1e-06,1e-06
25,4.5e-05,3.2e-05,5.3e-05,3.1e-05,3.2e-05,3.7e-05,1e-06,1e-06
30,9.6e-05,5.6e-05,9.2e-05,5.4e-05,5.4e-05,5.3e-05,2e-06,1e-06
30,9.3e-05,5.3e-05,9.2e-05,5.5e-05,5.3e-05,5.3e-05,3e-06,1e-06
35,0.000136,9.6e-05,0.000134,9.7e-05,9.3e-05,9.2e-05,2e-06,2e-06
35,0.000132,9.2e-05,0.000131,9.4e-05,9.2e-05,9.2e-05,3e-06,2e-06
40,0.000202,0.000136,0.000199,0.000136,0.000136,0.000136,2e-06,3e-06
40,0.000205,0.000141,0.000199,0.000137,0.000136,0.000136,3e-06,2e-06
45,0.000285,0.000191,0.000285,0.000192,0.000192,0.000192,3e-06,3e-06
45,0.000299,0.000191,0.000289,0.000192,0.000191,0.000192,3e-06,3e-06
50,0.000398,0.000262,0.000394,0.000261,0.000261,0.000261,4e-06,5e-06
50,0.000401,0.000262,0.000401,0.00027,0.000261,0.000261,3e-06,4e-06
55,0.000532,0.000345,0.000529,0.000346,0.000344,0.000345,4e-06,4e-06
55,0.000532,0.000358,0.000549,0.000352,0.000344,0.000345,5e-06,4e-06
60,0.000692,0.000444,0.00069,0.000444,0.000447,0.000444,5e-06,5e-06
60,0.00069,0.000444,0.000689,0.000444,0.000444,0.000445,5e-06,5e-06
65,0.00088,0.000563,0.000883,0.000563,0.00059,0.000574,6e-06,6e-06
65,0.000882,0.000562,0.000901,0.000592,0.000564,0.000563,6e-06,6e-06
70,0.001104,0.000697,0.001103,0.000709,0.000735,0.00071,7e-06,7e-06
70,0.001104,0.000698,0.001104,0.00071,0.000696,0.000697,6e-06,8e-06
75,0.00137,0.000864,0.001382,0.000861,0.000863,0.00087,8e-06,8e-06
75,0.001371,0.00087,0.001371,0.000861,0.000957,0.000875,7e-06,8e-06
80,0.001778,0.001091,0.001672,0.001053,0.001054,0.001056,9e-06,1e-05
80,0.001671,0.001054,0.001668,0.001052,0.001051,0.001057,9e-06,9e-06
85,0.002061,0.001285,0.002068,0.001278,0.001243,0.001245,1e-05,1.2e-05
85,0.002001,0.001241,0.002016,0.001242,0.001243,0.001242,1e-05,1.1e-05
90,0.002388,0.001523,0.002489,0.001568,0.001506,0.001542,1.2e-05,1.5e-05
90,0.002503,0.00148,0.00247,0.001539,0.001472,0.001471,1.2e-05,1.2e-05
95,0.00282,0.001775,0.002855,0.001776,0.001793,0.001783,1.2e-05,1.4e-05
95,0.002809,0.001767,0.002847,0.00179,0.001836,0.001792,1.2e-05,1.4e-05
100,0.003385,0.002036,0.003365,0.002122,0.002021,0.002046,1.3e-05,1.5e-05
100,0.003292,0.002005,0.003318,0.002028,0.00202,0.002044,1.4e-05,1.5e-05
105,0.003846,0.00233,0.003877,0.002336,0.00242,0.002491,1.5e-05,1.6e-05
105,0.003862,0.002321,0.00387,0.002342,0.002348,0.002413,1.5e-05,1.6e-05
110,0.004447,0.002872,0.004473,0.002699,0.002752,0.002867,2.1e-05,1.9e-05
110,0.00439,0.002666,0.004508,0.002672,0.002734,0.00276,1.6e-05,1.8e-05
115,0.005025,0.003081,0.005145,0.003069,0.003191,0.003211,1.7e-05,2.1e-05
115,0.005026,0.003081,0.00509,0.003067,0.003082,0.003182,1.7e-05,2e-05
120,0.006069,0.003573,0.005907,0.003496,0.003646,0.003618,1.9e-05,2.1e-05
120,0.005743,0.003524,0.005819,0.003494,0.00354,0.003622,1.9e-05,2.1e-05
125,0.006513,0.004006,0.00669,0.003956,0.004048,0.00413,2.1e-05,2.7e-05
125,0.006484,0.004157,0.006619,0.004079,0.004056,0.004145,2.2e-05,2.3e-05
130,0.007322,0.00477,0.00746,0.004613,0.00464,0.004772,2.6e-05,2.6e-05
130,0.007289,0.004607,0.007383,0.00462,0.004642,0.004679,2.3e-05,2.5e-05
135,0.008423,0.005508,0.008569,0.005378,0.005496,0.005269,2.8e-05,2.9e-05
135,0.008496,0.005504,0.008564,0.005311,0.005546,0.005335,3e-05,3e-05
140,0.00978,0.006011,0.009578,0.006096,0.00658,0.005874,2.8e-05,3e-05
140,0.009167,0.005766,0.009293,0.005952,0.006052,0.005846,2.7e-05,2.9e-05
145,0.010436,0.006516,0.010452,0.006698,0.007185,0.006649,3.8e-05,3.6e-05
145,0.010212,0.006518,0.01071,0.006903,0.006988,0.006519,2.9e-05,3.1e-05
150,0.011271,0.007202,0.011528,0.007732,0.007831,0.007346,3e-05,3.4e-05
150,0.011302,0.007051,0.011647,0.007592,0.007893,0.007181,3.2e-05,3.4e-05
155,0.012427,0.007986,0.012839,0.008483,0.008468,0.007994,4.6e-05,3.9e-05
155,0.012494,0.007787,0.012625,0.008362,0.008377,0.00818,3.4e-05,3.6e-05
160,0.014236,0.0088,0.013957,0.009036,0.009194,0.008737,3.5e-05,3.8e-05
160,0.013792,0.008523,0.014129,0.009289,0.00933,0.008718,3.9e-05,4e-05
165,0.015389,0.009442,0.015239,0.009867,0.01038,0.009901,4.7e-05,5e-05
165,0.015314,0.009556,0.015196,0.009903,0.010062,0.009517,3.7e-05,4e-05
170,0.016864,0.010379,0.017101,0.010875,0.011061,0.010472,3.9e-05,4.5e-05
170,0.01645,0.010242,0.016961,0.010889,0.011219,0.010518,4e-05,4.4e-05
175,0.018114,0.011289,0.018292,0.012049,0.012331,0.011521,4.4e-05,4.8e-05
175,0.018086,0.011155,0.018073,0.011805,0.012266,0.011468,4.1e-05,4.5e-05
180,0.019887,0.012258,0.019667,0.012824,0.013082,0.01246,5e-05,5e-05
180,0.020024,0.012394,0.019732,0.013143,0.013165,0.012413,4.4e-05,5e-05
185,0.022126,0.013316,0.021577,0.014185,0.014277,0.013505,4.6e-05,5.2e-05
185,0.021565,0.013357,0.021536,0.013953,0.014206,0.013436,4.6e-05,5e-05
190,0.02358,0.014638,0.023479,0.015058,0.015332,0.014527,4.8e-05,5.3e-05
190,0.023548,0.01452,0.023418,0.015046,0.015345,0.014712,4.9e-05,5.4e-05
195,0.025759,0.01598,0.026269,0.02225,0.022026,0.016005,6.8e-05,8.3e-05
195,0.026059,0.015932,0.026127,0.022614,0.022008,0.015739,6.5e-05,7.6e-05
200,0.027602,0.016863,0.02829,0.024176,0.023621,0.017082,6.4e-05,8.1e-05
200,0.027942,0.017248,0.027991,0.023694,0.024302,0.017234,7.8e-05,9.2e-05
205,0.02986,0.018165,0.030285,0.025665,0.025418,0.018238,6.6e-05,8.5e-05
205,0.030797,0.018225,0.029768,0.0256,0.025321,0.018785,7.3e-05,8.6e-05
210,0.031709,0.019508,0.032715,0.027945,0.027547,0.019825,8.2e-05,0.000111
210,0.032409,0.019732,0.032723,0.028518,0.027858,0.019904,7e-05,8.9e-05
215,0.034718,0.020957,0.035462,0.030334,0.029883,0.021445,8.6e-05,9.3e-05
215,0.034493,0.02096,0.034841,0.030095,0.029851,0.021264,7.7e-05,0.000109
220,0.037672,0.02255,0.037436,0.032292,0.031709,0.022756,0.000105,0.000111
220,0.037001,0.022522,0.037079,0.031967,0.031493,0.022888,8.3e-05,9.7e-05
225,0.039975,0.024236,0.040159,0.036835,0.035659,0.024295,8e-05,0.000103
225,0.039866,0.02408,0.039787,0.034357,0.03399,0.024285,8.9e-05,0.000108
230,0.042293,0.025553,0.044038,0.038396,0.038024,0.027114,0.000104,0.000109
230,0.043495,0.025538,0.04265,0.036609,0.035954,0.025653,9.3e-05,0.000122
235,0.045116,0.02744,0.045017,0.038893,0.038759,0.027544,8.9e-05,0.00011
235,0.045562,0.027747,0.045882,0.039476,0.0388,0.027781,0.000105,0.000122
240,0.048351,0.028968,0.049319,0.042244,0.041545,0.029367,9.5e-05,0.000118
240,0.048228,0.029064,0.048084,0.041809,0.040801,0.029145,0.000111,0.000124
245,0.050386,0.030297,0.050673,0.043163,0.043161,0.030905,9.5e-05,0.000119
245,0.050813,0.030896,0.051278,0.044227,0.043913,0.031277,0.000104,0.000126
250,0.054545,0.032654,0.055415,0.047033,0.046593,0.033301,0.000105,0.000139
250,0.054414,0.032536,0.054538,0.047712,0.04693,0.033569,0.000106,0.000126
255,0.056857,0.034109,0.058037,0.049953,0.049199,0.035198,0.000106,0.000144
255,0.057519,0.034451,0.057129,0.049687,0.04922,0.034983,0.000108,0.000135
260,0.059806,0.036761,0.060576,0.044784,0.044564,0.037033,9.2e-05,0.000112
260,0.060815,0.036886,0.061148,0.045088,0.04544,0.037416,0.000111,0.000133
265,0.064171,0.039206,0.065325,0.049788,0.049952,0.039792,0.000107,0.000139
265,0.064374,0.039333,0.065339,0.050412,0.049848,0.039847,0.000109,0.000147
270,0.073041,0.04117,0.068617,0.05388,0.053664,0.041447,0.000109,0.000147
