n,inplace,extramemory
0,2e-06,0.0
0,2e-06,0.0
50,7e-06,6e-06
50,7e-06,6e-06
100,2.2e-05,2.2e-05
100,2.2e-05,2.2e-05
150,4.2e-05,4.4e-05
150,3.9e-05,4e-05
200,7.7e-05,9.6e-05
200,7.5e-05,8.9e-05
250,0.00011,0.000138
250,0.000113,0.000133
300,0.000132,0.00018
300,0.000129,0.000177
350,0.000194,0.000256
350,0.000191,0.00025
400,0.000244,0.000314
400,0.000241,0.000315
450,0.000342,0.00041
450,0.000339,0.00043
500,0.000441,0.000608
500,0.000415,0.000498
550,0.000549,0.000645
550,0.000525,0.00063
600,0.000575,0.000688
600,0.000663,0.000752
650,0.000697,0.000839
650,0.000777,0.000959
700,0.00087,0.001132
700,0.000795,0.001056
750,0.001024,0.001163
750,0.000949,0.001128
800,0.001164,0.001399
800,0.001199,0.001406
850,0.001261,0.001601
850,0.001258,0.001497
900,0.001359,0.00162
900,0.001364,0.001629
950,0.001666,0.001914
950,0.001577,0.001844
1000,0.002151,0.004347
1000,0.002744,0.004684
1050,0.002311,0.00249
1050,0.002227,0.002359
1100,0.002203,0.003023
1100,0.002193,0.002585
1150,0.00251,0.002915
1150,0.002291,0.002742
1200,0.002759,0.003605
1200,0.002697,0.003043
1250,0.003145,0.003422
1250,0.002963,0.003625
1300,0.00327,0.003637
1300,0.003198,0.003641
1350,0.003385,0.003944
1350,0.003489,0.00407
1400,0.003563,0.004263
1400,0.003634,0.004161
1450,0.003752,0.005304
1450,0.003725,0.004602
1500,0.005051,0.005465
1500,0.005066,0.005062
1550,0.004574,0.005313
1550,0.004581,0.005699
1600,0.00524,0.005585
1600,0.004768,0.005604
1650,0.006624,0.01387
1650,0.006867,0.014476
1700,0.00522,0.00664
1700,0.005322,0.006899
1750,0.006437,0.006834
1750,0.006812,0.006636
1800,0.00601,0.00708
1800,0.006475,0.007087
1850,0.006265,0.007517
1850,0.006236,0.007952
1900,0.01116,0.017197
1900,0.011442,0.019731
1950,0.00702,0.008401
1950,0.007325,0.009031
2000,0.023575,0.02591
2000,0.024023,0.026218
2050,0.008244,0.009446
2050,0.008003,0.010018
2100,0.008334,0.009788
2100,0.008421,0.010584
2150,0.009182,0.011491
2150,0.009364,0.010177
2200,0.009005,0.010654
2200,0.008772,0.010617
2250,0.016256,0.027072
2250,0.015033,0.024568
2300,0.017232,0.027454
2300,0.017507,0.026547
2350,0.015794,0.027588
2350,0.016908,0.031358
2400,0.019045,0.029932
2400,0.019817,0.029763
2450,0.011506,0.013538
2450,0.011472,0.013404
2500,0.01984,0.020005
2500,0.020301,0.021901
2550,0.020405,0.022696
2550,0.0213,0.022501
2600,0.014617,0.02537
2600,0.014978,0.025502
2650,0.016413,0.030455
2650,0.016875,0.033908
2700,0.017057,0.03073
2700,0.017558,0.029761
2750,0.017843,0.030644
2750,0.017812,0.030691
2800,0.022626,0.033682
2800,0.021879,0.032622
2850,0.02118,0.036902
2850,0.020924,0.036922
2900,0.027801,0.04104
2900,0.028476,0.040446
2950,0.022603,0.028128
2950,0.022553,0.029036
3000,0.023288,0.029246
3000,0.024211,0.029519
3050,0.06195,0.048298
3050,0.063739,0.048704
3100,0.032961,0.045096
3100,0.032795,0.046073
3150,0.029266,0.039028
3150,0.028576,0.039383
3200,0.030409,0.040147
3200,0.02981,0.041122
3250,0.029174,0.032063
3250,0.029904,0.033016
3300,0.036188,0.037093
3300,0.037608,0.038628
3350,0.031809,0.038963
3350,0.031917,0.038715
3400,0.034817,0.044245
3400,0.034952,0.04498
3450,0.036425,0.046669
3450,0.035969,0.046216
3500,0.035435,0.052924
3500,0.036871,0.052728
3550,0.069298,0.060582
3550,0.068011,0.060929
3600,0.036828,0.051386
3600,0.037616,0.051096
3650,0.041217,0.054397
3650,0.041033,0.05444
3700,0.042725,0.056552
3700,0.043036,0.056802
3750,0.047639,0.059856
3750,0.04654,0.060982
3800,0.049002,0.060661
3800,0.049321,0.061372
3850,0.049979,0.065112
3850,0.049994,0.063728
3900,0.051749,0.064458
3900,0.05153,0.06435
3950,0.050776,0.065513
3950,0.050881,0.064355
4000,0.049987,0.066575
4000,0.04957,0.065795
4050,0.114812,0.085488
4050,0.115262,0.086377
4100,0.119112,0.085852
4100,0.119891,0.085697
4150,0.123097,0.089905
4150,0.121851,0.087305
4200,0.125311,0.08994
4200,0.126022,0.090159
4250,0.129233,0.094118
4250,0.137825,0.092302
4300,0.132147,0.096057
4300,0.131461,0.095956
4350,0.13555,0.099042
4350,0.135588,0.097577
4400,0.138194,0.099994
4400,0.138002,0.097793
4450,0.142898,0.101224
4450,0.140066,0.101951
4500,0.143026,0.102451
4500,0.143122,0.103463
4550,0.149254,0.105673
4550,0.150741,0.106339
4600,0.150251,0.107767
4600,0.151025,0.108884
4650,0.150657,0.110185
4650,0.153138,0.108585
4700,0.154837,0.11031
4700,0.154806,0.11039
4750,0.160836,0.115356
4750,0.162635,0.115903
4800,0.162731,0.115915
4800,0.163479,0.119789
4850,0.166993,0.118691
4850,0.165639,0.117525
4900,0.170025,0.122742
4900,0.168482,0.119721
4950,0.171796,0.122947
4950,0.172321,0.123996
5000,0.187757,0.126863
5000,0.18713,0.125802
5050,0.180221,0.128797
5050,0.181075,0.127322
5100,0.1845,0.130511
5100,0.185716,0.130262
5150,0.189119,0.135253
5150,0.189941,0.136202
5200,0.193417,0.142447
5200,0.193889,0.138523
5250,0.195929,0.140142
5250,0.19664,0.141351
5300,0.196317,0.140307
5300,0.195906,0.14282
5350,0.206217,0.14591
5350,0.204068,0.147359
5400,0.209351,0.148963
5400,0.208698,0.147808
5450,0.212313,0.15128
5450,0.211843,0.150723
5500,0.214005,0.153353
5500,0.212561,0.150732
5550,0.217795,0.156418
5550,0.21525,0.156958
5600,0.221215,0.159647
5600,0.224088,0.159582
5650,0.227812,0.164119
5650,0.228175,0.16296
5700,0.232965,0.166396
5700,0.232471,0.165444
5750,0.233169,0.166329
5750,0.232252,0.166145
5800,0.236941,0.16923
5800,0.23423,0.169713
5850,0.24105,0.172132
5850,0.243377,0.174653
5900,0.248827,0.176985
5900,0.249611,0.176986
5950,0.254694,0.180793
5950,0.254847,0.17853
6000,0.252073,0.182826
6000,0.255071,0.182816
6050,0.258499,0.185156
6050,0.259521,0.183779
6100,0.264377,0.190372
6100,0.268209,0.18986
6150,0.273494,0.206021
6150,0.274274,0.194732
6200,0.278103,0.197067
6200,0.271393,0.193588
6250,0.277322,0.198795
